Run,Machine,Standard,Loops,Result,FramesSeconds,
Power,Power,Power,Power,Power,Power,Power
1,Spectrum,ntsc,500,480159.26,3676,61.266667
1,Atari,ntsc,500,480159.208,7157,119.283333
2,Spectrum,ntsc,500,480159.26,3676,61.266667
2,Atari,ntsc,500,480159.208,7157,119.283333
3,Spectrum,ntsc,500,480159.26,3676,61.266667
3,Atari,ntsc,500,480159.208,7157,119.283333
4,Spectrum,ntsc,1000,2256325.5,7363,122.71667
4,Atari,ntsc,1000,2256323.13,14304,238.4
5,Spectrum,ntsc,1000,2256325.5,7363,122.71667
5,Atari,ntsc,1000,2256323.13,14304,238.4
6,Spectrum,ntsc,1000,2256325.5,7363,122.71667
6,Atari,ntsc,1000,2256323.13,14304,238.4
7,Spectrum,ntsc,1500,5579920.7,11053,184.21667
7,Atari,ntsc,1500,5579915.75,21343,355.716666
8,Spectrum,ntsc,1500,5579920.7,11053,184.21667
8,Atari,ntsc,1500,5579915.75,21343,355.716666
9,Spectrum,ntsc,1500,5579920.7,11053,184.21667
9,Atari,ntsc,1500,5579915.75,21343,355.716666
Sqrt,Sqrt,Sqrt,Sqrt,Sqrt,Sqrt,Sqrt
1,Spectrum,ntsc,500,7464.5343,3639,60.65
1,Atari,ntsc,500,7464.534,4114,68.5666666
2,Spectrum,ntsc,500,7464.5343,3639,60.65
2,Atari,ntsc,500,7464.534,4114,68.5666666
3,Spectrum,ntsc,500,7464.5343,3639,60.65
3,Atari,ntsc,500,7464.534,4114,68.5666666
4,Spectrum,ntsc,1000,21097.456,7254,120.9
4,Atari,ntsc,1000,21097.4358,8217,136.95
5,Spectrum,ntsc,1000,21097.456,7254,120.9
5,Atari,ntsc,1000,21097.4358,8217,136.95
6,Spectrum,ntsc,1000,21097.456,7254,120.9
6,Atari,ntsc,1000,21097.4358,8217,136.95
7,Spectrum,ntsc,1500,38748.991,10930,182.16667
7,Atari,ntsc,1500,38748.9462,12106,201.766666
8,Spectrum,ntsc,1500,38748.991,10930,182.16667
8,Atari,ntsc,1500,38748.9462,12106,201.766666
9,Spectrum,ntsc,1500,38748.991,10930,182.16667
9,Atari,ntsc,1500,38748.9462,12106,201.766666
Str,Str,Str,Str,Str,Str,Str
1,Spectrum,ntsc,500,500,677,11.283333
1,Atari,ntsc,500,500,304,5.06666666
2,Spectrum,ntsc,500,500,677,11.283333
2,Atari,ntsc,500,500,304,5.06666666
3,Spectrum,ntsc,500,500,677,11.283333
3,Atari,ntsc,500,500,304,5.06666666
4,Spectrum,ntsc,1000,1000,2079,34.65
4,Atari,ntsc,1000,1000,610,10.1666666
5,Spectrum,ntsc,1000,1000,2079,34.65
5,Atari,ntsc,1000,1000,610,10.1666666
6,Spectrum,ntsc,1000,1000,2079,34.65
6,Atari,ntsc,1000,1000,610,10.1666666
7,Spectrum,ntsc,1500,1500,4208,70.133333
7,Atari,ntsc,1500,1500,916,15.2666666
8,Spectrum,ntsc,1500,1500,4208,70.133333
8,Atari,ntsc,1500,1500,916,15.2666666
9,Spectrum,ntsc,1500,1500,4208,70.133333
9,Atari,ntsc,1500,1500,916,15.2666666
Power,Power,Power,Power,Power,Power,Power
1,VIC-20,ntsc,500,480159.256,1798,29.9666666666667
2,VIC-20,ntsc,500,480159.256,1798,29.9666666666667
3,VIC-20,ntsc,500,480159.256,1798,29.9666666666667
4,VIC-20,ntsc,1000,2256325.53,3621,60.35
5,VIC-20,ntsc,1000,2256325.53,3631,60.5166666666667
6,VIC-20,ntsc,1000,2256325.53,3631,60.5166666666667
7,VIC-20,ntsc,1500,5579915.72,5392,89.8666666666667
8,VIC-20,ntsc,1500,5579915.72,5405,90.0833333333333
9,VIC-20,ntsc,1500,5579915.72,5392,89.8666666666667
Sqrt,Sqrt,Sqrt,Sqrt,Sqrt,Sqrt,Sqrt
1,VIC-20,ntsc,500,7464.53425,1448,24.1333333333333
2,VIC-20,ntsc,500,7464.53425,1448,24.1333333333333
3,VIC-20,ntsc,500,7464.53425,1448,24.1333333333333
4,VIC-20,ntsc,1000,21097.4559,2863,47.7166666666667
5,VIC-20,ntsc,1000,21097.4559,2867,47.7833333333333
6,VIC-20,ntsc,1000,21097.4559,2867,47.7833333333333
7,VIC-20,ntsc,1500,38748.9915,4297,71.6166666666667
8,VIC-20,ntsc,1500,38748.9915,4300,71.6666666666667
9,VIC-20,ntsc,1500,38748.9915,4297,71.6166666666667
Str,Str,Str,Str,Str,Str,Str
1,VIC-20,ntsc,500,245,327,5.45
2,VIC-20,ntsc,500,245,324,5.4
3,VIC-20,ntsc,500,245,324,5.4
4,VIC-20,ntsc,1000,235,666,11.1
5,VIC-20,ntsc,1000,235,632,10.5333333333333
6,VIC-20,ntsc,1000,235,650,10.8333333333333
7,VIC-20,ntsc,1500,,967,16.1166666666667
8,VIC-20,ntsc,1500,,965,16.0833333333333
9,VIC-20,ntsc,1500,,971,16.1833333333333
